IDENTIFIER	VALUE
Solyc01g020353	0.661228634
Solyc01g020357	0.205339409
Solyc01g020360	0.790015441
Solyc01g020370	-0.046777744
Solyc01g020440	0.093306797
Solyc01g020495	-0.006701465
Solyc01g020520	-0.051158386
Solyc01g021600	0.140157667
Solyc01g021640	-0.02331443
Solyc01g021720	-0.429197431
Solyc01g022740	0.002370098
Solyc01g022750	0.268489093
Solyc01g028800	0.047957868
Solyc01g028803	-1.115007607
Solyc01g028810	0.358695777
Solyc01g028830	-0.018462817
Solyc01g028860	-0.446894511
Solyc01g028870	-0.26339901
Solyc01g028900	0.43430482
Solyc01g028930	0.084620613
Solyc01g034020	0.275540493
Solyc01g034040	-0.052483061
Solyc01g034070	0.019916342
Solyc01g034080	-0.136620497
Solyc01g034150	-0.446624378
Solyc01g044270	-0.131022933
Solyc01g044340	-0.169008502
Solyc01g044350	-0.209123865
Solyc01g044360	0.052081109
Solyc01g044365	1.188198581
Solyc01g044370	0.726537531
Solyc01g044375	-0.576409573
Solyc01g044490	-0.227256121
Solyc01g044551	1.04260492
Solyc01g044558	0.346254282
Solyc01g049650	0.179202033
Solyc01g049680	0.209658422
Solyc01g049690	0.126356686
Solyc01g049770	-1.194760986
Solyc01g049810	-0.27307272
Solyc01g049880	0.148551472
Solyc01g049890	-0.063224229
Solyc01g049910	0.111056231
Solyc01g049960	0.171598262
Solyc01g050010	0.333648445
Solyc01g050040	0.220925932
Solyc01g050045	0.401327901
Solyc01g050070	0.060389536
Solyc01g056340	0.041246864
Solyc01g056480	-0.289050792
Solyc01g056520	-0.109727746
Solyc01g056570	0.179127934
Solyc01g056600	0.282586688
Solyc01g056620	0.226416893
Solyc01g056640	-0.397381369
Solyc01g056690	-0.01071085
Solyc01g056720	0.253575201
Solyc01g056760	2.299597958
Solyc01g056780	0.009741486
Solyc01g056790	0.410172685
Solyc01g056810	-0.258675931
Solyc01g056830	0.759823823
Solyc01g056850	1.319968665
Solyc01g056940	0.077334763
Solyc01g056990	0.613768461
Solyc01g057020	0.127964374
Solyc01g057090	-0.058911924
Solyc01g057165	1.226416401
Solyc01g057200	-0.201026137
Solyc01g057210	0.234656711
Solyc01g057260	0.978146995
Solyc01g057270	-0.130799741
Solyc01g057310	0.949925391
Solyc01g057320	1.381800049
Solyc01g057340	0.39729351
Solyc01g057395	0.71390972
Solyc01g057430	-0.196952812
Solyc01g057440	0.031415314
Solyc01g057445	0.253316251
Solyc01g057520	0.13144658
Solyc01g057570	0.099729915
Solyc01g057705	-0.631573231
Solyc01g057707	-1.769235914
Solyc01g057760	-0.160697291
Solyc01g057770	0.259593172
Solyc01g057780	-0.432916164
Solyc01g057830	0.048144865
Solyc01g057840	0.071450156
Solyc01g057850	-0.000169752
Solyc01g057853	-0.794848558
Solyc01g057900	0.003070715
Solyc01g057910	0.375835965
Solyc01g057940	1.659494185
Solyc01g057960	0.290265581
Solyc01g058000	0.513788904
Solyc01g058010	0.015364486
Solyc01g058020	0.14756005
Solyc01g058140	-0.297147119
Solyc01g058160	-0.847172857
Solyc01g058170	-0.717115449
Solyc01g058190	-0.148024327
Solyc01g058205	-0.193142346
Solyc01g058260	0.150231635
Solyc01g058270	0.840805281
Solyc01g058280	0.248961337
Solyc01g058320	0.191635324
Solyc01g058350	0.272317602
Solyc01g058390	0.32808117
Solyc01g058400	0.349204458
Solyc01g058450	0.021621555
Solyc01g058470	-0.265882371
Solyc01g058520	-0.144543868
Solyc01g058530	-0.09188178
Solyc01g058540	-0.089660857
Solyc01g058665	0.154265833
Solyc01g058670	-0.168408103
Solyc01g058720	0.918168542
Solyc01g058730	0.070714253
Solyc01g059830	-0.128383412
Solyc01g059860	-0.348588866
Solyc01g059870	-0.019317846
Solyc01g059880	0.534145703
Solyc01g059920	0.55959962
Solyc01g059930	-0.1965973
Solyc01g059965	-3.235573593
Solyc01g060020	-2.035056411
Solyc01g060030	-0.355231588
Solyc01g060040	0.074138663
Solyc01g060050	0.102401821
Solyc01g060070	-1.583860729
Solyc01g060080	0.014992761
Solyc01g060090	0.166392263
Solyc01g060100	0.910669224
Solyc01g060140	-0.026734456
Solyc01g060160	-0.072140354
Solyc01g060170	-0.172884727
Solyc01g060180	-0.753277711
Solyc01g060240	0.840143664
Solyc01g060250	-0.134403651
Solyc01g060260	-1.862909325
Solyc01g060280	0.071140259
Solyc01g060375	-1.331930561
Solyc01g060390	0.215830815
Solyc01g060410	-0.024576135
Solyc01g060460	0.925008204
Solyc01g060470	-0.134301693
Solyc01g065490	-0.412630852
Solyc01g065500	-1.603365318
Solyc01g065510	-0.101381789
Solyc01g065530	-0.446501871
Solyc01g065540	-0.543195905
Solyc01g065550	0.179307072
Solyc01g065560	-0.021521287
Solyc01g065570	0.452864757
Solyc01g065580	-0.048717708
Solyc01g065690	-0.481085387
Solyc01g065700	-0.440646133
Solyc01g065710	-0.584879779
Solyc01g065720	-0.18003862
Solyc01g065725	0.035985798
Solyc01g065740	-0.437917647
Solyc01g065840	-0.18955118
Solyc01g065980	0.044382532
Solyc01g066020	-0.343256802
Solyc01g066050	0.363023197
Solyc01g066060	-0.073846022
Solyc01g066310	-0.37239838
Solyc01g066340	-0.414086984
Solyc01g066430	-1.03759659
Solyc01g066440	-0.095717824
Solyc01g066457	-0.649072945
Solyc01g066480	-0.131846201
Solyc01g066500	-1.034306803
Solyc01g066520	0.242800038
Solyc01g066560	-0.292902523
Solyc01g066570	-1.489059921
Solyc01g066590	0.14544675
Solyc01g066610	0.336876855
Solyc01g066620	0.84273286
Solyc01g066640	-0.102567242
Solyc01g066680	-0.313978163
Solyc01g066690	0.089781861
Solyc01g066700	0.460414821
Solyc01g066710	0.592864641
Solyc01g066720	0.181457008
Solyc01g066730	0.880933667
Solyc01g066740	-1.073052595
Solyc01g066760	0.534826025
Solyc01g066770	-1.11089573
Solyc01g066820	0.159571578
Solyc01g066830	-0.21290115
Solyc01g066840	0.376490241
Solyc01g066860	-1.35538908
Solyc01g066870	-0.1208168
Solyc01g066880	-0.56694496
