"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc01g067215"	NA	42.3328589355411	-0.681288272858716	0.756818623824067	-0.900200195148859	0.368013722339	0.746665369395458
"Solyc07g007700"	"Isoprenylcysteine carboxyl methyltransferase "	470.334547365551	-0.681225499486134	0.215606918213734	-3.15957161824848	0.00158001262585303	0.0779543440222632
"Solyc11g007940"	"Poly"	144.725461652249	-0.680685672943744	0.418138901438593	-1.62789367504881	0.103547432796412	0.481813588035372
"Solyc07g017260"	"tRNA pseudouridine synthase A "	129.172973439497	-0.680461016418397	0.507157366035229	-1.34171573162388	0.179688184228709	0.594213885853581
"Solyc07g018210"	"Yip1 domain containing protein expressed "	397.578976739281	-0.680382232663493	0.364271502896079	-1.86778879833923	0.0617915154342311	0.392806272924186
"Solyc01g079640"	"Unknown Protein "	333.946793874704	-0.680345044428631	0.391910929925297	-1.73596853896959	0.0825693975632634	0.438310080351996
"Solyc05g016040"	"Unknown Protein "	8.75752014834527	-0.680206879408022	2.74212157942286	-0.24805861436355	0.804089055941664	NA
"Solyc11g072820"	"Kinesin-5 "	1153.54311598468	-0.680200562121713	0.391456402668343	-1.73761511495319	0.0822786547133122	0.437752217612489
"Solyc04g049910"	"Nuclear transcription factor Y subunit B-3 "	549.839444651466	-0.680147456822034	0.219367850128463	-3.10048831870184	0.00193201834253249	0.0865530335992045
"Solyc12g096170"	"Unknown Protein "	99.3252642752875	-0.679758815192133	0.358090781190871	-1.89828627514933	0.0576583809617081	0.382110327412471
"Solyc08g075120"	"Pollen-specific kinase partner protein "	572.172351233329	-0.679712632322897	0.370825727598244	-1.83297053504147	0.066806953030724	0.406271568211962
"Solyc07g043240"	"Pectinesterase "	22.0262790533292	-0.679712496285545	1.26433239532582	-0.537605853332883	0.590849188347224	0.872475415225401
"Solyc08g069080"	"Splicing factor 3B subunit 5 "	608.984337066275	-0.678877644033986	0.524631968183773	-1.29400739033154	0.195662868090416	0.611670267163785
"Solyc02g094470"	"Mitochondrial phosphate carrier protein "	4542.51527854703	-0.678148130084734	0.389690906890422	-1.74022056479605	0.0818202959440085	0.437684140137745
"Solyc01g111800"	"Amino acid permease "	86.6548189240815	-0.677859929401298	0.524648095782673	-1.29202780844952	0.196347514443169	0.611670267163785
"Solyc10g081920"	"Coatomer subunit beta-1 "	3350.53975320087	-0.677740112531342	0.380467059640211	-1.78133716272901	0.0748573868800834	0.424202140687323
"Solyc10g075067"	NA	24.2662232808014	-0.677341525111172	1.26322073856475	-0.536202030597405	0.591818930279884	0.873502079891783
"Solyc06g063180"	"Glutamate-gated kainate-type ion channel receptor subunit GluR5 "	677.367600142205	-0.677335135872214	0.335855165872633	-2.0167477076386	0.0437218485326876	0.336802534474774
"Solyc03g118170"	"Glycyl-tRNA synthetase "	4133.79543412836	-0.677311272870962	0.271132816854724	-2.49807928353384	0.0124868263212322	0.197664177560434
"Solyc01g010720"	"Serine carboxypeptidase K10B2.2 "	572.427194197736	-0.677287638096368	0.546402012094912	-1.23954089315967	0.215145254430155	0.634471332008749
"Solyc09g009260"	"Fructose-bisphosphate aldolase "	11996.1175672392	-0.677216873384129	0.489153339229446	-1.38446744419845	0.166215369985319	0.575174170387321
"Solyc11g068680"	"Genomic DNA chromosome 5 P1 clone MWD9 "	270.132723216519	-0.677212838114394	0.308414555274734	-2.19578754158064	0.0281071537970403	0.281071537970403
"Solyc12g044840"	"Receptor-like kinase "	538.003623656099	-0.677190042857193	0.363853955657355	-1.86115894118493	0.0627217346875257	0.394155848078225
"Solyc11g011060"	"AT5g16610/MTG13_5 "	2604.76493336233	-0.677180715461399	0.255782931912629	-2.64748202860037	0.0081093669884166	0.163275358595043
"Solyc11g044800"	"PHP domain-containing protein "	533.028968517784	-0.677169618004601	0.181252251367313	-3.73606183038409	0.000186924724568911	0.0208300769804267
"Solyc12g036657"	NA	20.1946016805368	-0.67713984280044	0.673379470898757	-1.00558432810056	0.314615565780221	0.711934111466338
"Solyc06g084060"	"Leucine Rich Repeat family protein expressed "	292.029261865162	-0.677063321069912	0.338834477414024	-1.99821259700973	0.0456936164164473	0.342638492748171
"Solyc02g093335"	NA	182.852759801903	-0.676561901390373	0.699402315348778	-0.967342953465897	0.333372617709092	0.724614834904141
"Solyc04g054810"	"Pollen allergen Phl p 11 "	10550.9067826368	-0.676512663227648	0.606878075654519	-1.11474230222937	0.264960867787883	0.676067686908326
"Solyc03g063030"	"Amino acid transporter "	467.944179374476	-0.676509323954532	0.617148645927189	-1.09618538162416	0.272997655605932	0.68321129790942
"Solyc01g093965"	NA	707.94861255355	-0.67626181370044	0.306922093135914	-2.20336635525606	0.0275689375550553	0.279168196508468
"Solyc10g007720"	"Conserved oligomeric Golgi complex subunit 5 "	1009.79747363939	-0.67605692234542	0.19236461855262	-3.51445565942518	0.000440656230756001	0.0359958007601998
"Solyc04g016230"	"Glucosyltransferase "	46.160091636211	-0.675974211103848	0.714804310384473	-0.945677301162693	0.34431320342514	0.730626905081061
"Solyc12g095760"	"Diphosphate--fructose-6-phosphate 1-phosphotransferase "	4139.50960335105	-0.675962737785101	0.33790930871358	-2.00042650603054	0.0454542285892569	0.341397239227529
"Solyc07g042560"	"Kinesin-like protein "	57.5276494527112	-0.675773905249954	0.478435216026795	-1.41246689752894	0.157812530892094	0.564317708340929
"Solyc10g150000"	NA	71.4568376669517	-0.675614653551644	0.683535500865325	-0.988411944509607	0.322950940061667	0.717435788234766
"Solyc04g011540"	"Elicitor-responsive protein 1 "	624.885844742643	-0.675223324169014	0.407198733284206	-1.65821567941308	0.0972739411335195	0.467922804130005
"Solyc11g064840"	"C2 domain-containing protein "	90.7062510564304	-0.674917289332985	0.397772740027428	-1.69674093123236	0.0897456505959156	0.453258827667503
"Solyc06g009040"	"Glutathione S-transferase "	13.9573842492364	-0.67481692725661	0.981461973561347	-0.687562988108403	0.49172802244529	0.823693837270686
"Solyc09g082090"	"Unknown Protein "	36.3342440095212	-0.674809986033116	1.21471993233627	-0.555527219130468	0.578534097671219	0.86628101766641
"Solyc07g006420"	"Unknown Protein "	147.235047010262	-0.674763476043431	1.14302860921607	-0.590329472598422	0.55496978385081	0.855597977663073
"Solyc07g017430"	"Polyphosphoinositide phosphatase "	3894.25030691571	-0.674613936493397	0.27967550918127	-2.41213089579521	0.0158595865745691	0.221738691797236
"Solyc06g009400"	"Nitrogen regulatory protein P-II "	2455.94917593733	-0.674596912870191	0.479960973560583	-1.40552451143205	0.159865365783589	0.566525406767725
"Solyc05g054570"	"CRAL/TRIO domain containing protein expressed "	1741.61436689403	-0.674550203785179	0.356611307099767	-1.89155584905911	0.0585501831572259	0.384694680365467
"Solyc08g023540"	"Unknown Protein "	58.4040209099891	-0.674536627446034	1.29763116872895	-0.519821536120123	0.603187967516937	0.878421501507812
"Solyc03g006240"	"GDSL esterase/lipase At5g45910 "	1989.57014609826	-0.674443437474072	0.602526704534203	-1.11935858178347	0.262987193134049	0.674164185881917
"Solyc11g071970"	"Serine/threonine-protein kinase Nek2 "	405.794943571509	-0.674365776386142	0.285632284187823	-2.36095782486093	0.0182278034739202	0.234729894850082
"Solyc02g069450"	"Photosystem I reaction center subunit III "	1814.17377128161	-0.673894327687322	0.586385319901421	-1.14923464966792	0.250459236791398	0.663381461634644
"Solyc11g013820"	"Phosphatidylinositol-4-phosphate 5-kinase family protein "	341.889986055227	-0.673825924073163	0.430986623331526	-1.56344973972624	0.117946848642691	0.505074455908118
"Solyc03g005730"	"3-isopropylmalate dehydratase large subunit 2 "	10151.4749316508	-0.673432905329932	0.508335646347412	-1.32478001526906	0.185244125080695	0.599922596513779
"Solyc08g028780"	"AT5G28150-like protein "	223.932503928249	-0.673429732405934	0.468952585443825	-1.4360294693089	0.150993955891311	0.553292193897674
"Solyc08g079710"	"Kinesin "	6910.15762528503	-0.673286937288786	0.273376268534415	-2.46285802677135	0.0137834482491526	0.205609953670261
"Solyc01g094020"	"Receptor kinase-like protein "	399.731224647117	-0.673198514142238	0.348682071829621	-1.9306943732719	0.0535208591699947	0.36967303592889
"Solyc08g080180"	"Molybdenum cofactor sulfurase "	40.0883118175838	-0.672719213573683	0.70209093606795	-0.958165358665983	0.337979382243323	0.726861014514069
"Solyc11g012400"	"Calcium-binding protein 39 "	1510.51279396981	-0.67221252927662	0.253134231718616	-2.65555758584185	0.00791774137394315	0.162320909223552
"Solyc04g015150"	"Phosphoglycolate phosphatase "	434.736908994316	-0.672095543296293	0.235362725892903	-2.85557341650655	0.00429591895270139	0.123658741208834
"Solyc06g064560"	"DNA ligase-like protein "	127.972030943715	-0.671778274558585	0.562732308121396	-1.19377946647709	0.232564245826723	0.650636486895294
"Solyc04g079810"	"F-box/LRR-repeat protein 13 "	257.507888762694	-0.67167744759789	0.357454464052161	-1.87905737694152	0.0602366591945563	0.388740595891474
"Solyc03g117660"	"Mandelonitrile lyase "	172.452479502551	-0.671524319858906	0.351221672054532	-1.91196720843195	0.0558804001680272	0.375834403509137
"Solyc03g116920"	"Sister chromatid cohesion protein PDS5 homolog A "	191.382420037345	-0.670965221029108	0.402366570466929	-1.66754713307938	0.0954056604742744	0.46464331832019
"Solyc03g121070"	"Hexokinase "	1694.83316372079	-0.670755044114302	0.189984585309117	-3.53057614133769	0.000414655648155983	0.0348370356581616
"Solyc07g064610"	"Calcium-dependent protein kinase 2 "	2812.21452481215	-0.6707281618756	0.305167596231878	-2.19790099000536	0.027956162347101	0.280683860139716
"Solyc05g012340"	"Erlin-2 "	1316.52244845189	-0.67050550921659	0.287616467020613	-2.33124868044685	0.0197402505768693	0.24315513093416
"Solyc12g008840"	"Beta-galactosidase "	10859.0064153392	-0.670379240556111	0.545614905340657	-1.22866738792181	0.219196538265109	0.637772150456213
"Solyc04g009250"	"Cc-nbs-lrr, resistance protein"	59.9059259603218	-0.670259727287863	1.45438359974616	-0.460854844213622	0.644902750622964	0.896646527426348
"Solyc01g105620"	"RING finger protein "	501.056856359889	-0.670187828580995	0.602670415129946	-1.1120304095838	0.266125075658479	0.676355843991188
"Solyc11g006580"	"RNA pyrophosphohydrolase "	796.450430999965	-0.669376583373004	0.378632102761731	-1.76788121897375	0.0770807631763721	0.428154983122686
"Solyc01g099030"	"GDSL esterase/lipase At1g28590 "	165.177567467374	-0.669272082201174	0.75684798572386	-0.884288648216554	0.376540414608566	0.752655269566875
"Solyc02g089020"	"Transcription factor "	780.817966392881	-0.669109600331504	0.414122478684851	-1.61572876327899	0.106152969305758	0.486165480991375
"Solyc09g018180"	"Unknown Protein "	29.1758151135498	-0.669042245648537	0.907338618842129	-0.737367760784077	0.460898735379073	0.806751985488565
"Solyc06g074670"	"Bifunctional polymyxin resistance arnA protein "	2189.32570891805	-0.668899283389843	0.447648684757025	-1.49425052762728	0.135110150541553	0.531399825331474
"Solyc01g100380"	"Calreticulin 2 calcium-binding protein "	16487.6852266963	-0.668862229659426	0.382400002400497	-1.74911669838043	0.0802708493614378	0.434676692456435
"Solyc02g086400"	"Unknown Protein "	289.066389188838	-0.668677226590644	0.769957883270963	-0.868459484757718	0.385142842707812	0.758228325455828
"Solyc05g012510"	"Phosphorylase "	6347.55949876857	-0.668374299631775	0.243144560852788	-2.74887621293097	0.00597999653590675	0.143348321581033
"Solyc04g079880"	"1-acyl-sn-glycerol-3-phosphate acyltransferase "	260.863196547782	-0.668162549601903	0.415813402706166	-1.6068807432695	0.108080531430582	0.488827157424632
"Solyc08g006630"	"Spindle and kinetochore-associated protein 2 "	31.9478610303503	-0.668109077047298	0.810030538953536	-0.824794924288182	0.409488028814397	0.776315198846151
"Solyc07g056040"	"UPF0497 membrane protein 11 "	2448.39956299587	-0.66804546015045	0.527348178179561	-1.26680149433072	0.20522627765761	0.622006666227657
"Solyc06g071910"	"3-oxoacyl-reductase "	3328.38504929438	-0.667923259212161	0.415963657696947	-1.60572503595682	0.108334337907863	0.489451594552123
"Solyc07g018300"	"Single-stranded DNA binding protein p30 subunit "	164.813936282476	-0.667669492360079	0.641563483161194	-1.04069123303317	0.298018873365416	0.701420503939216
"Solyc04g076090"	"Glucose-6-phosphate isomerase 2"	2862.30758778588	-0.667495487461919	0.268610198282592	-2.48499681594248	0.0129552593386999	0.200501042406111
"Solyc03g043870"	"Ubiquitin ligase protein FANCL "	125.465120427274	-0.667424877878703	0.473300813252324	-1.41014944236508	0.158495560661246	0.564653445301886
"Solyc09g098450"	"Sn1-specific diacylglycerol lipase alpha "	895.208049747832	-0.667184523844044	0.295345606965195	-2.25899592920869	0.0238836380979026	0.264297840761115
"Solyc05g008600"	"Fructose-bisphosphate aldolase "	7773.62614253236	-0.666910015154216	0.358300264943974	-1.86131599779447	0.0626995652976799	0.394126560974804
"Solyc05g010340"	"Uridine kinase "	291.969482304736	-0.666729555665289	0.530038108310037	-1.25788984831879	0.208431595564521	0.626240685552238
"Solyc01g087840"	"Subtilisin-like protease "	363.12535759849	-0.666510449524959	0.554141414334765	-1.20278043164323	0.229061299181812	0.647762891211373
"Solyc06g073460"	"Glutathione peroxidase "	12327.1956208195	-0.666509794594545	0.572291172471342	-1.16463406506226	0.244167148700348	0.660285843103385
"Solyc09g005710"	"Pentatricopeptide repeat-containing protein "	84.4865613531158	-0.666465036714689	0.29802280322074	-2.23628873197683	0.0253328640737722	0.270257237109295
"Solyc10g008560"	"DUF647 domain-containing protein "	1746.41026937392	-0.666226555671906	0.251735186876624	-2.64653727569053	0.00813205421915574	0.163585827053794
"Solyc01g111520"	"Synaptotagmin "	5094.89809489543	-0.666098349271457	0.277366752227331	-2.40150754884104	0.0163276721818366	0.223902097575829
"Solyc01g057960"	"Class III homeodomain-leucine zipper "	158.006546776172	-0.665988798078068	1.04592993505517	-0.636743223190124	0.524292114252191	0.841184283094569
"Solyc08g007805"	NA	23.7651629189904	-0.665947893361726	0.884370445456796	-0.753019163838916	0.451438398196994	0.800282352207466
