Geneid	PI127826_F1	Elite_02	PI127826	F2-127	F2-151	F2-28	F2-411	F2-445	F2-73
mRNA:Solyc00g500161.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500162.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500163.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500164.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500165.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g112190.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500166.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500167.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g230080.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g316530.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g069880.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500168.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g013100.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g013110.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g126010.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g126000.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g125990.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g125980.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g244300.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g244290.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g244280.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500169.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500170.1.1	0	0	0	0	0	0	0	0	2
mRNA:Solyc00g013170.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g013180.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500171.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500172.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g320430.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500173.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g019750.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g019730.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500174.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500175.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500176.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500177.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500178.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500179.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500180.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500181.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500182.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g118680.2.1	2	10	1	6	14	0	4	36	4
mRNA:Solyc00g118690.1.1	2	16	5	14	18	5	18	90	13
mRNA:Solyc00g023600.1.1	0	0	0	13	13	2	15	22	12
mRNA:Solyc00g023590.2.1	5	0	41	49	16	0	52	107	14
mRNA:Solyc00g023580.1.1	2	0	7	6	1	0	28	75	8
mRNA:Solyc00g023570.1.1	0	0	0	9	5	0	16	71	18
mRNA:Solyc00g014860.1.1	0	0	6	1	5	0	1	15	2
mRNA:Solyc00g014850.1.1	4	11	11	49	51	1	53	369	22
mRNA:Solyc00g500183.1.1	1	6	20	88	110	98	92	372	83
mRNA:Solyc00g500184.1.1	20	22	47	100	86	39	100	296	76
mRNA:Solyc00g500185.1.1	16	34	24	71	81	34	81	156	68
mRNA:Solyc00g014810.1.1	5	0	0	10	4	1	6	7	3
mRNA:Solyc00g014800.1.1	0	2	0	11	10	4	6	8	7
mRNA:Solyc00g014790.2.1	2	0	10	25	19	6	61	63	28
mRNA:Solyc00g094550.1.1	0	0	4	3	1	4	7	6	1
mRNA:Solyc00g094540.1.1	12	43	26	56	23	1	89	252	26
mRNA:Solyc00g094530.1.1	9	24	28	46	58	8	80	214	17
mRNA:Solyc00g094520.1.1	2	1	5	34	48	2	57	166	13
mRNA:Solyc00g023700.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g023710.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g049210.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g049220.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500186.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500187.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500188.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500189.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g021660.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500190.1.1	0	3	0	0	0	0	0	1	0
mRNA:Solyc00g500191.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500192.1.1	0	0	0	0	0	1	0	0	0
mRNA:Solyc00g500193.1.1	0	8	0	8	2	10	26	16	10
mRNA:Solyc00g500194.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500195.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500196.1.1	0	0	0	0	0	0	0	3	0
mRNA:Solyc00g500197.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500198.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500199.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500200.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500201.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500202.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500203.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500204.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500205.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500206.1.1	2	4	3	5	0	8	2	11	3
mRNA:Solyc00g500207.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500208.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500209.1.1	0	0	0	0	0	0	0	0	0
