IDENTIFIER	VALUE
Solyc01g011350	-0.08723231
Solyc01g011430	0.408032347
Solyc01g011460	4.051022676
Solyc01g011465	4.784979347
Solyc01g011510	0.076860767
Solyc01g012760	-1.989319714
Solyc01g014105	0.659120061
Solyc01g014180	0.361046744
Solyc01g014230	-0.141317374
Solyc01g014250	-0.392714526
Solyc01g014270	1.872910308
Solyc01g014275	4.14585437
Solyc01g014320	1.409001193
Solyc01g014373	1.272802265
Solyc01g014480	-0.178085286
Solyc01g014490	-0.573603045
Solyc01g014510	-0.135770466
Solyc01g014520	-0.052028246
Solyc01g014530	-0.614479406
Solyc01g014560	-0.932995029
Solyc01g014620	2.15151012
Solyc01g014840	-0.435731033
Solyc01g014850	-0.019061162
Solyc01g014860	-0.14211277
Solyc01g015000	-2.435258016
Solyc01g015020	-0.160890383
Solyc01g150118	1.102957949
Solyc01g016410	0.672395517
Solyc01g016470	0.448890281
Solyc01g016720	0.409641358
Solyc01g017600	-1.17574472
Solyc01g017860	0.897753176
Solyc01g018010	0.743479124
Solyc01g018020	0.206146767
Solyc01g020130	-1.802527101
Solyc01g020190	1.00412561
Solyc01g020220	2.888102658
Solyc01g020240	0.135632728
Solyc01g020320	-0.877591414
Solyc01g020340	0.17809749
Solyc01g020343	1.543946131
Solyc01g020347	0.377386786
Solyc01g020353	0.878461712
Solyc01g020357	1.067738369
Solyc01g150126	2.338156006
Solyc01g020440	-0.294524183
Solyc01g020495	1.180585032
Solyc01g020500	0.902466627
Solyc01g020520	0.382893584
Solyc01g021600	0.571221638
Solyc01g021640	0.769163619
Solyc01g022740	-0.186612401
Solyc01g022750	-0.809922406
Solyc01g034020	-0.594316978
Solyc01g034080	-0.89858382
Solyc01g034150	0.015497803
Solyc01g028930	-0.116150217
Solyc01g028900	-0.487889771
Solyc01g028870	0.076987819
Solyc01g028860	0.251586065
Solyc01g028830	-0.890328746
Solyc01g028810	0.107532375
Solyc01g028800	-1.419236238
Solyc01g028807	0.894879028
Solyc01g044270	-0.047216734
Solyc01g044340	-0.181600134
Solyc01g044350	-0.411719331
Solyc01g044360	-0.240460062
Solyc01g044365	1.110149315
Solyc01g044490	-0.316385146
Solyc01g044556	0.087553553
Solyc01g044558	-0.110313575
Solyc01g049650	-0.617359517
Solyc01g049680	1.006879139
Solyc01g049690	0.844810805
Solyc01g049770	2.467939983
Solyc01g049810	0.678865721
Solyc01g049820	-1.208876938
Solyc01g049880	0.541779191
Solyc01g049890	0.195043648
Solyc01g049910	-0.338926783
Solyc01g049920	2.060123855
Solyc01g049960	-0.056270203
Solyc01g050010	0.918210537
Solyc01g050040	1.196442402
Solyc01g050045	1.063955049
Solyc01g050070	-0.123124001
Solyc01g056320	1.009945828
Solyc01g056340	0.162516062
Solyc01g056480	0.711160078
Solyc01g056520	0.117683673
Solyc01g056570	-0.268692122
Solyc01g056600	0.266448859
Solyc01g056610	0.228315366
Solyc01g056620	-0.195370692
Solyc01g056690	-0.514520396
Solyc01g056720	-0.489420911
Solyc01g056730	0.223244337
Solyc01g056750	-1.109899815
Solyc01g056760	-0.165678487
Solyc01g056770	0.840408536
Solyc01g056780	-0.233600103
Solyc01g056790	1.720622546
Solyc01g056800	0.730433285
Solyc01g056810	0.596868325
Solyc01g056830	1.232264294
Solyc01g056850	-0.512017816
Solyc01g056940	-2.500831376
Solyc01g056990	-0.694750995
Solyc01g057020	0.273048651
Solyc01g057090	0.386188413
Solyc01g057160	0.985770258
Solyc01g057200	-0.301929588
Solyc01g057210	-0.284087039
Solyc01g057270	-0.172633862
Solyc01g057310	-1.609572785
Solyc01g057320	-2.157694012
Solyc01g057340	0.527350256
Solyc01g057395	-2.383805489
Solyc01g057430	-0.44142682
Solyc01g057440	-1.231411292
Solyc01g057445	-0.704758509
Solyc01g057520	-0.425704667
Solyc01g057570	-0.501782487
Solyc01g057760	-0.075021837
Solyc01g057770	-0.756152248
Solyc01g057780	0.267969303
Solyc01g057830	-0.498789266
Solyc01g057840	0.201389608
Solyc01g057850	-0.116981199
Solyc01g057853	1.089537124
Solyc01g057900	-0.450598776
Solyc01g057910	0.244825872
Solyc01g058010	-0.156267573
Solyc01g058020	-0.164703812
Solyc01g058140	0.160960604
Solyc01g058160	-0.363687382
Solyc01g058170	-0.013870446
Solyc01g058190	0.314240651
Solyc01g058200	0.770298329
Solyc01g058205	0.032120226
Solyc01g058260	-0.045775809
Solyc01g058270	-1.589831845
Solyc01g058280	0.32536089
Solyc01g058320	-0.284147089
Solyc01g058350	4.476735322
Solyc01g058390	-0.144075536
Solyc01g058450	-0.093634799
Solyc01g058470	0.79270639
Solyc01g058520	0.563401978
Solyc01g058530	0.415714322
Solyc01g058540	-0.481977749
Solyc01g058670	-0.246976068
Solyc01g058673	0.029724263
Solyc01g058720	-0.04534475
Solyc01g058730	-0.203685495
Solyc01g059830	-0.425431601
Solyc01g059860	0.253956933
Solyc01g059870	-0.16656985
Solyc01g059880	-0.338304386
Solyc01g059920	0.407436451
Solyc01g059930	0.980511268
Solyc01g060020	-0.00974971
Solyc01g060030	0.471587908
Solyc01g060040	-0.091826733
Solyc01g060050	-0.162709714
Solyc01g060070	3.020460463
Solyc01g060080	-0.033914832
Solyc01g060090	-0.308892495
Solyc01g060100	0.755441815
Solyc01g060130	1.661776408
Solyc01g060140	-0.195177173
Solyc01g060170	-0.268932815
Solyc01g060180	-0.04496083
Solyc01g060210	1.575829704
Solyc01g150139	3.374335995
Solyc01g060240	-0.103850846
Solyc01g060250	0.183695871
Solyc01g060260	2.635343003
Solyc01g060280	-0.245025489
Solyc01g060395	-0.387619046
Solyc01g060410	-1.051690781
Solyc01g060460	1.259260416
Solyc01g060470	-0.114063669
Solyc01g065490	-0.818441306
Solyc01g065500	-0.077167873
Solyc01g065510	0.126018278
Solyc01g065530	-0.103882486
Solyc01g065540	0.408537123
Solyc01g065550	0.664113655
Solyc01g065560	0.607623242
Solyc01g065570	-0.361257615
Solyc01g065580	-0.080032377
Solyc01g065680	0.692114267
Solyc01g065690	-0.961503826
Solyc01g065700	-0.79493281
Solyc01g065710	0.458021606
Solyc01g065720	-0.166494288
Solyc01g065740	-0.054144677
Solyc01g065750	0.351471528
Solyc01g065840	-0.157123886
Solyc01g065980	0.23763532
Solyc01g066020	-1.095437306
Solyc01g066050	-0.129729677
Solyc01g066060	-0.048968237
Solyc01g066310	0.552722167
Solyc01g066340	1.59343767
Solyc01g066430	1.014405406
Solyc01g066440	-0.787593839
Solyc01g066450	0.433411576
Solyc01g066457	-1.445771347
Solyc01g066480	-0.248490303
Solyc01g066510	1.483600208
Solyc01g066520	-0.278189254
Solyc01g066560	-0.047458339
Solyc01g066570	0.877995819
Solyc01g066590	-0.118491487
Solyc01g066610	0.075683163
Solyc01g066620	0.262389517
Solyc01g066640	1.617610149
Solyc01g066680	-1.829671443
Solyc01g066690	-0.172058765
Solyc01g066700	-0.320272872
Solyc01g066710	0.319581606
Solyc01g066720	1.469451958
Solyc01g066730	1.11107832
Solyc01g066740	0.155802892
Solyc01g066760	0.158880339
Solyc01g066770	1.243142653
Solyc01g066790	2.480625172
Solyc01g066820	-0.802372049
Solyc01g066830	-0.259261596
Solyc01g066840	0.780851128
Solyc01g066860	-1.180036224
Solyc01g066870	-0.284107776
Solyc01g066880	-1.814346093
Solyc01g066900	-0.316647296
Solyc01g066910	1.919304672
Solyc01g066940	-0.132779608
Solyc01g067000	1.25284196
Solyc01g067010	1.305225711
Solyc01g067020	0.822627995
Solyc01g067030	1.292190036
Solyc01g067070	0.279059
Solyc01g067080	0.048280802
Solyc01g067090	-0.207358137
Solyc01g067100	-0.27480067
Solyc01g067120	1.084673786
Solyc01g067177	4.329275165
Solyc01g067210	0.456742935
Solyc01g067220	1.914102647
Solyc01g067230	1.537300158
Solyc01g067250	1.272864164
Solyc01g067255	-1.093241982
Solyc01g067270	2.186734465
Solyc01g067280	0.392372595
Solyc01g067290	-0.345141786
Solyc01g067300	2.516569119
Solyc01g067295	2.846162802
Solyc01g067330	0.935802071
Solyc01g067360	0.172500394
Solyc01g067380	-0.493163554
Solyc01g067390	0.031512061
Solyc01g067400	-0.322065503
Solyc01g067440	-1.197882668
Solyc01g067460	-1.11199065
Solyc01g067480	-0.252093999
Solyc01g067490	-0.289228255
Solyc01g067500	-0.230466301
Solyc01g067510	-1.040523163
Solyc01g067530	-0.295496518
Solyc01g067550	-0.471246731
Solyc01g067560	-0.005801175
Solyc01g067570	0.821321744
Solyc01g067580	0.275742347
Solyc01g067590	-0.276698833
Solyc01g067600	-0.009440934
Solyc01g067620	1.327530106
Solyc01g067630	0.173453202
Solyc01g067640	-0.335173286
Solyc01g067660	1.295340672
Solyc01g067680	0.054771105
Solyc01g067690	-0.267267816
Solyc01g067700	-0.6703826
Solyc01g067710	0.510221137
Solyc01g067720	-0.727296713
Solyc01g067730	-1.474724632
Solyc01g067740	-0.247067722
Solyc01g067750	-0.673176584
Solyc01g067790	-0.405867263
Solyc01g067800	-0.028799179
Solyc01g067820	1.644346404
Solyc01g067830	0.771766233
Solyc01g067890	0.247788049
Solyc01g067900	1.766254675
Solyc01g067910	1.151137915
Solyc01g067930	-0.566626066
Solyc01g067940	-0.590849912
Solyc01g068000	-0.061656827
Solyc01g068020	0.237816661
Solyc01g068030	0.142238555
Solyc01g068045	-0.364842571
Solyc01g068050	0.531451517
Solyc01g068060	0.059347588
Solyc01g068070	-0.176769757
Solyc01g068080	1.796569593
Solyc01g068100	-0.180438449
Solyc01g068130	-0.174272481
Solyc01g068140	-0.869439973
Solyc01g068150	0.323523069
Solyc01g068160	0.291542859
Solyc01g068170	-0.537636508
Solyc01g068180	0.283692286
Solyc01g068190	0.600031555
Solyc01g068200	-0.493439693
Solyc01g068210	-0.192217299
Solyc01g068240	0.131837177
Solyc01g068250	-1.094054193
Solyc01g068260	0.312634175
Solyc01g068270	-0.378287441
Solyc01g068280	-0.27968253
Solyc01g068290	-0.246797496
Solyc01g068330	-0.03676998
Solyc01g068340	0.404741431
Solyc01g068350	-0.118026889
Solyc01g068360	0.351812249
Solyc01g068370	0.669590671
Solyc01g068380	1.097516151
Solyc01g068390	0.292778751
Solyc01g068400	0.67210814
Solyc01g068410	2.748272503
Solyc01g068450	1.370024849
Solyc01g068460	1.093396358
Solyc01g068470	0.261756821
Solyc01g068480	0.126289457
Solyc01g068490	-0.286085514
Solyc01g068500	-0.15035548
Solyc01g068520	1.541237362
Solyc01g068530	0.814212681
Solyc01g068540	0.257205156
Solyc01g068560	1.094642761
Solyc01g068580	0.182235835
Solyc01g068590	-0.364687001
Solyc01g068620	0.782728799
Solyc01g068640	0.120719074
Solyc01g079060	-0.059541657
Solyc01g079080	-0.665515644
Solyc01g079090	-0.119662234
Solyc01g079100	-0.459308697
Solyc01g079110	0.615817919
Solyc01g079150	1.426712953
Solyc01g079170	0.306053552
Solyc01g079180	-0.175695363
Solyc01g079200	-1.403513453
Solyc01g079210	0.319798044
Solyc01g079220	0.029050673
Solyc01g079230	1.013982921
Solyc01g079240	-0.512820901
Solyc01g079250	0.772538793
Solyc01g079260	1.337598473
Solyc01g079290	4.01403607
Solyc01g079300	-1.171425302
Solyc01g079310	0.329149177
Solyc01g079320	-0.027876303
Solyc01g079330	-0.250863987
Solyc01g079340	-0.101170677
Solyc01g079350	0.683922226
Solyc01g079360	0.772265071
Solyc01g079370	-0.338470855
Solyc01g079390	-0.190120781
Solyc01g079400	0.946802965
Solyc01g079410	-1.354335834
Solyc01g079420	0.696794938
Solyc01g079430	0.237478719
Solyc01g079440	3.87763388
Solyc01g079450	-0.289280795
Solyc01g079470	0.030276276
Solyc01g079480	0.880112861
Solyc01g079490	-0.756629065
Solyc01g079500	0.143617406
Solyc01g079510	0.239227626
Solyc01g079520	-0.205950486
Solyc01g079530	0.203334569
Solyc01g079535	-0.672723893
Solyc01g079550	3.03701355
Solyc01g079570	-2.137218158
Solyc01g079580	0.441243421
Solyc01g079590	0.098563578
Solyc01g079600	0.203483942
Solyc01g079610	-0.506541646
Solyc01g079620	1.201391567
Solyc01g079630	0.844873613
Solyc01g079640	-0.596499072
Solyc01g079650	0.394645003
Solyc01g079660	-0.855853732
Solyc01g079670	1.727676987
Solyc01g079680	0.237686478
Solyc01g079690	-0.174154117
Solyc01g079700	0.004965094
Solyc01g079710	1.81216276
Solyc01g079720	-0.240599613
Solyc01g079750	0.282003495
Solyc01g079760	-0.055159145
Solyc01g079770	0.704950376
Solyc01g079780	-0.78587639
Solyc01g079790	-0.595982162
Solyc01g079800	-0.159309801
Solyc01g079810	-0.84766699
Solyc01g079820	-0.449704746
Solyc01g079840	-0.13791009
Solyc01g079850	-1.223628219
Solyc01g079860	0.220221089
Solyc01g079870	0.269592338
Solyc01g079880	0.589183239
Solyc01g079940	1.734641362
Solyc01g079950	0.223116339
Solyc01g079960	0.637627808
Solyc01g079980	0.983527526
Solyc01g080010	-0.581059068
Solyc01g080020	1.095574946
Solyc01g080040	0.82331159
Solyc01g080070	-0.117838388
Solyc01g080080	0.26838197
Solyc01g080100	-0.503441612
Solyc01g080110	-0.234932577
Solyc01g080130	-0.34673802
Solyc01g080140	-0.322871044
Solyc01g080150	0.821899727
Solyc01g080160	-0.222382101
Solyc01g080170	0.13703928
Solyc01g080180	-0.027995053
Solyc01g080190	0.392086444
Solyc01g080200	0.479168305
Solyc01g080210	0.392093747
Solyc01g080220	1.488016282
Solyc01g080240	0.126907988
Solyc01g080250	0.00871229
Solyc01g080260	0.042095244
Solyc01g080270	0.170676362
Solyc01g080280	-0.533903323
Solyc01g080290	0.318046517
Solyc01g080300	0.58178224
Solyc01g080310	0.865175789
Solyc01g080330	-0.539737267
Solyc01g080340	0.986923472
Solyc01g080350	-0.248925196
Solyc01g080360	0.793706437
Solyc01g080400	0.894857237
Solyc01g080410	2.477008008
Solyc01g080430	-0.118419229
Solyc01g080450	0.584693583
Solyc01g080460	0.692294209
Solyc01g080470	0.485017566
Solyc01g080480	1.965618609
Solyc01g080500	1.061357933
Solyc01g080510	0.178476845
Solyc01g080530	-0.056162182
Solyc01g080540	0.815048048
Solyc01g080570	-1.423203364
Solyc01g080580	1.274589877
Solyc01g080590	-0.078098145
Solyc01g080600	0.312988465
Solyc01g080610	-0.285305325
