genotype,surface,name,date,type_VI
14830-313,adaxial,Aleksandra,21-Mar,3
14830-313,abaxial,Aleksandra,21-Mar,1
14830-314,adaxial,Aleksandra,21-Mar,5
14830-314,abaxial,Aleksandra,21-Mar,1
14830-315,adaxial,Sanne,21-Mar,4
14830-315,abaxial,Sanne,21-Mar,4
14830-317,abaxial,Rob,21-Mar,2
14830-317,adaxial,Rob,21-Mar,1
14830-318,adaxial,Aleksandra,21-Mar,5
14830-318,abaxial,Aleksandra,21-Mar,2
14830-319,adaxial,Sanne,21-Mar,5
14830-319,abaxial,Sanne,21-Mar,4
14830-321,adaxial,Aleksandra,21-Mar,4
14830-321,abaxial,Aleksandra,21-Mar,2
14830-322,abaxial,Sanne,21-Mar,5
14830-322,adaxial,Sanne,21-Mar,4
14830-323,adaxial,Rob,21-Mar,4
14830-323,abaxial,Rob,21-Mar,2
14830-324,adaxial,Aleksandra,21-Mar,4
14830-324,abaxial,Aleksandra,21-Mar,2
14830-325,adaxial,Aleksandra,21-Mar,3
14830-325,abaxial,Aleksandra,21-Mar,1
14830-326,adaxial,Rob,21-Mar,4
14830-326,abaxial,Rob,21-Mar,2
14830-327,adaxial,Aleksandra,21-Mar,4
14830-327,abaxial,Aleksandra,21-Mar,2
14830-329,adaxial,Rob,21-Mar,3
14830-329,abaxial,Rob,21-Mar,1
14830-330,adaxial,Sanne,21-Mar,5
14830-330,abaxial,Sanne,21-Mar,2
14830-331,adaxial,Rob,21-Mar,2
14830-331,abaxial,Rob,21-Mar,1
14830-332,adaxial,Aleksandra,21-Mar,5
14830-332,abaxial,Aleksandra,21-Mar,2
14830-333,abaxial,Sanne,21-Mar,3
14830-333,adaxial,Sanne,21-Mar,2
14830-334,adaxial,Sanne,21-Mar,4
14830-334,abaxial,Sanne,21-Mar,2
14830-335,adaxial,Sanne,21-Mar,3
14830-335,abaxial,Sanne,21-Mar,3
14830-336,adaxial,Aleksandra,21-Mar,2
14830-336,abaxial,Aleksandra,21-Mar,2
14830-337,adaxial,Rob,21-Mar,4
14830-337,abaxial,Rob,21-Mar,1
14830-338,abaxial,Sanne,21-Mar,3
14830-338,adaxial,Sanne,21-Mar,2
14830-339,adaxial,Rob,21-Mar,3
14830-339,abaxial,Rob,21-Mar,1
14830-340,adaxial,Rob,21-Mar,2
14830-340,abaxial,Rob,21-Mar,1
14830-341,adaxial,Aleksandra,21-Mar,4
14830-341,abaxial,Aleksandra,21-Mar,1
14830-343,adaxial,Rob,21-Mar,2
14830-343,abaxial,Rob,21-Mar,2
14830-344,adaxial,Aleksandra,21-Mar,4
14830-344,abaxial,Aleksandra,21-Mar,3
14830-345,adaxial,Aleksandra,21-Mar,4
14830-345,abaxial,Aleksandra,21-Mar,2
14830-346,adaxial,Sanne,22-Mar,3
14830-346,abaxial,Sanne,22-Mar,3
14830-347,abaxial,Aleksandra,22-Mar,4
14830-347,adaxial,Aleksandra,22-Mar,3
14830-348,adaxial,Aleksandra,22-Mar,5
14830-348,abaxial,Aleksandra,22-Mar,2
14830-349,adaxial,Aleksandra,22-Mar,5
14830-349,abaxial,Aleksandra,22-Mar,3
14830-350,adaxial,Sanne,22-Mar,2
14830-350,abaxial,Sanne,22-Mar,2
14830-351,adaxial,Sanne,22-Mar,3
14830-351,abaxial,Sanne,22-Mar,3
14830-352,adaxial,Aleksandra,22-Mar,4
14830-352,abaxial,Aleksandra,22-Mar,2
14830-353,adaxial,Sanne,22-Mar,4
14830-353,abaxial,Sanne,22-Mar,2
14830-354,adaxial,Sanne,22-Mar,2
14830-354,abaxial,Sanne,22-Mar,2
14830-355,adaxial,Aleksandra,22-Mar,3
14830-355,abaxial,Aleksandra,22-Mar,2
14830-358,adaxial,Aleksandra,22-Mar,4
14830-358,abaxial,Aleksandra,22-Mar,2
14830-359,adaxial,Aleksandra,22-Mar,5
14830-359,abaxial,Aleksandra,22-Mar,2
14830-360,adaxial,Sanne,22-Mar,2
14830-360,abaxial,Sanne,22-Mar,2
14830-361,adaxial,Sanne,22-Mar,4
14830-361,abaxial,Sanne,22-Mar,4
14830-362,adaxial,Sanne,22-Mar,4
14830-362,abaxial,Sanne,22-Mar,3
14830-363,adaxial,Aleksandra,22-Mar,4
14830-363,abaxial,Aleksandra,22-Mar,2
14830-364,adaxial,Aleksandra,22-Mar,2
14830-364,abaxial,Aleksandra,22-Mar,1
14830-365,adaxial,Sanne,22-Mar,5
14830-365,abaxial,Sanne,22-Mar,5
14830-366,adaxial,Aleksandra,22-Mar,5
14830-366,abaxial,Aleksandra,22-Mar,2
14830-367,adaxial,Aleksandra,22-Mar,4
14830-367,abaxial,Aleksandra,22-Mar,2
14830-368,adaxial,Sanne,22-Mar,2
14830-368,abaxial,Sanne,22-Mar,2
14830-369,adaxial,Sanne,22-Mar,2
14830-369,abaxial,Sanne,22-Mar,2
14830-370,adaxial,Sanne,22-Mar,5
14830-370,abaxial,Sanne,22-Mar,4
14830-371,adaxial,Aleksandra,22-Mar,4
14830-371,abaxial,Aleksandra,22-Mar,2
14830-372,adaxial,Aleksandra,22-Mar,4
14830-372,abaxial,Aleksandra,22-Mar,2
14830-373,adaxial,Aleksandra,22-Mar,5
14830-373,abaxial,Aleksandra,22-Mar,5
14830-374,adaxial,Sanne,22-Mar,2
14830-374,abaxial,Sanne,22-Mar,2
14830-375,adaxial,Sanne,23-Mar,5
14830-375,abaxial,Sanne,23-Mar,5
14830-376,adaxial,Aleksandra,23-Mar,3
14830-376,abaxial,Aleksandra,23-Mar,2
14830-377,adaxial,Sanne,23-Mar,2
14830-377,abaxial,Sanne,23-Mar,2
14830-378,adaxial,Sanne,23-Mar,5
14830-378,abaxial,Sanne,23-Mar,4
14830-379,adaxial,Aleksandra,23-Mar,3
14830-379,abaxial,Aleksandra,23-Mar,3
14830-380,adaxial,Sanne,23-Mar,2
14830-380,abaxial,Sanne,23-Mar,2
14830-381,adaxial,Aleksandra,23-Mar,5
14830-381,abaxial,Aleksandra,23-Mar,2
14830-383,adaxial,Aleksandra,23-Mar,5
14830-383,abaxial,Aleksandra,23-Mar,2
14830-384,adaxial,Sanne,23-Mar,3
14830-384,abaxial,Sanne,23-Mar,3
14830-385,adaxial,Sanne,23-Mar,3
14830-385,abaxial,Sanne,23-Mar,2
14830-386,abaxial,Sanne,23-Mar,3
14830-386,adaxial,Sanne,23-Mar,2
14830-387,adaxial,Aleksandra,23-Mar,5
14830-387,abaxial,Aleksandra,23-Mar,1
14830-388,adaxial,Sanne,23-Mar,2
14830-388,abaxial,Sanne,23-Mar,2
14830-389,abaxial,Sanne,23-Mar,2
14830-389,adaxial,Sanne,23-Mar,1
14830-390,adaxial,Aleksandra,23-Mar,5
14830-390,abaxial,Aleksandra,23-Mar,2
14830-391,adaxial,Aleksandra,23-Mar,5
14830-391,abaxial,Aleksandra,23-Mar,1
14830-392,adaxial,Sanne,23-Mar,4
14830-392,abaxial,Sanne,23-Mar,3
14830-393,adaxial,Sanne,23-Mar,4
14830-393,abaxial,Sanne,23-Mar,4
14830-394,adaxial,Aleksandra,23-Mar,5
14830-394,abaxial,Aleksandra,23-Mar,2
14830-396,abaxial,Sanne,23-Mar,3
14830-396,adaxial,Sanne,23-Mar,2
14830-397,adaxial,Aleksandra,23-Mar,5
14830-397,abaxial,Aleksandra,23-Mar,2
14830-398,adaxial,Sanne,23-Mar,2
14830-398,abaxial,Sanne,23-Mar,2
14830-399,adaxial,Sanne,23-Mar,3
14830-399,abaxial,Sanne,23-Mar,3
14830-400,adaxial,Aleksandra,23-Mar,5
14830-400,abaxial,Aleksandra,23-Mar,2
14830-401,adaxial,Michelle,23-Mar,2
14830-401,abaxial,Michelle,23-Mar,1
14830-402,abaxial,Sanne,23-Mar,4
14830-402,adaxial,Sanne,23-Mar,2
14830-403,adaxial,Sanne,23-Mar,5
14830-403,abaxial,Sanne,23-Mar,3
14830-404,adaxial,Sanne,23-Mar,2
14830-404,abaxial,Sanne,23-Mar,2
14830-405,adaxial,Aleksandra,23-Mar,5
14830-405,abaxial,Aleksandra,23-Mar,5
14830-406,abaxial,Sanne,23-Mar,2
14830-406,adaxial,Sanne,23-Mar,1
14830-407,abaxial,Sanne,23-Mar,3
14830-407,adaxial,Sanne,23-Mar,2
14830-408,adaxial,Aleksandra,23-Mar,4
14830-408,abaxial,Aleksandra,23-Mar,2
14830-409,adaxial,Sanne,23-Mar,3
14830-409,abaxial,Sanne,23-Mar,3
14830-410,adaxial,Sanne,23-Mar,2
14830-410,abaxial,Sanne,23-Mar,2
14830-411,adaxial,Aleksandra,23-Mar,4
14830-411,abaxial,Aleksandra,23-Mar,2
14830-412,adaxial,Sanne,23-Mar,5
14830-412,abaxial,Sanne,23-Mar,2
14830-413,adaxial,Aleksandra,23-Mar,3
14830-413,abaxial,Aleksandra,23-Mar,2
14830-414,adaxial,Michelle,23-Mar,3
14830-414,abaxial,Michelle,23-Mar,3
14830-415,adaxial,Sanne,23-Mar,2
14830-415,abaxial,Sanne,23-Mar,2
14830-416,adaxial,Sanne,23-Mar,3
14830-416,abaxial,Sanne,23-Mar,2
14830-417,adaxial,Sanne,23-Mar,4
14830-417,abaxial,Sanne,23-Mar,3
14830-418,adaxial,Michelle,23-Mar,2
14830-418,abaxial,Michelle,23-Mar,2
14830-419,adaxial,Aleksandra,23-Mar,3
14830-419,abaxial,Aleksandra,23-Mar,2
14830-420,adaxial,Aleksandra,23-Mar,2
14830-420,abaxial,Aleksandra,23-Mar,2
14830-421,adaxial,Michelle,23-Mar,4
14830-421,abaxial,Michelle,23-Mar,3
14830-422,adaxial,Aleksandra,23-Mar,4
14830-422,abaxial,Aleksandra,23-Mar,1
14830-423,adaxial,Sanne,23-Mar,3
14830-423,abaxial,Sanne,23-Mar,3
14830-425,adaxial,Aleksandra,23-Mar,5
14830-425,abaxial,Aleksandra,23-Mar,2
14830-427,adaxial,Aleksandra,23-Mar,4
14830-427,abaxial,Aleksandra,23-Mar,1
14830-428,adaxial,Michelle,23-Mar,5
14830-428,abaxial,Michelle,23-Mar,5
14830-429,adaxial,Michelle,23-Mar,5
14830-429,abaxial,Michelle,23-Mar,5
14830-430,adaxial,Aleksandra,23-Mar,5
14830-430,abaxial,Aleksandra,23-Mar,2
14830-431,adaxial,Michelle,23-Mar,3
14830-431,abaxial,Michelle,23-Mar,3
14830-432,adaxial,Michelle,23-Mar,4
14830-432,abaxial,Michelle,23-Mar,4
14830-433,adaxial,Michelle,23-Mar,3
14830-433,abaxial,Michelle,23-Mar,3
14830-434,adaxial,Michelle,23-Mar,5
14830-434,abaxial,Michelle,23-Mar,4
14830-435,adaxial,Aleksandra,23-Mar,4
14830-435,abaxial,Aleksandra,23-Mar,3
14830-436,adaxial,Sanne,23-Mar,2
14830-436,abaxial,Sanne,23-Mar,2
14830-437,adaxial,Michelle,23-Mar,5
14830-437,abaxial,Michelle,23-Mar,5
14830-438,adaxial,Aleksandra,23-Mar,3
14830-438,abaxial,Aleksandra,23-Mar,3
14830-439,abaxial,Sanne,23-Mar,3
14830-439,adaxial,Sanne,23-Mar,2
14830-440,adaxial,Aleksandra,23-Mar,3
14830-440,abaxial,Aleksandra,23-Mar,2
14830-441,adaxial,Sanne,23-Mar,2
14830-441,abaxial,Sanne,23-Mar,2
14830-443,adaxial,Sanne,23-Mar,2
14830-443,abaxial,Sanne,23-Mar,2
14830-444,adaxial,Sanne,23-Mar,5
14830-444,abaxial,Sanne,23-Mar,4
14830-445,abaxial,Michelle,23-Mar,2
14830-445,adaxial,Michelle,23-Mar,1
14830-446,adaxial,Aleksandra,23-Mar,4
14830-446,abaxial,Aleksandra,23-Mar,1
14830-447,adaxial,Aleksandra,23-Mar,5
14830-447,abaxial,Aleksandra,23-Mar,2
14830-448,adaxial,Aleksandra,23-Mar,5
14830-448,abaxial,Aleksandra,23-Mar,2
14830-449,adaxial,Sanne,23-Mar,2
14830-449,abaxial,Sanne,23-Mar,2
14830-450,adaxial,Sanne,23-Mar,3
14830-450,abaxial,Sanne,23-Mar,2
14830-451,adaxial,Sanne,23-Mar,2
14830-451,abaxial,Sanne,23-Mar,2
01_14826,adaxial,Aleksandra,28-Mar,5
01_14826,abaxial,Aleksandra,28-Mar,5
01_14827,adaxial,Aleksandra,28-Mar,5
01_14827,abaxial,Aleksandra,28-Mar,5
01_14828,adaxial,Sanne,28-Mar,5
01_14828,abaxial,Sanne,28-Mar,5
01_14830,adaxial,Aleksandra,28-Mar,5
01_14830,abaxial,Aleksandra,28-Mar,4
01_14839,adaxial,Sanne,28-Mar,5
01_14839,abaxial,Sanne,28-Mar,5
01_14840,adaxial,Sanne,28-Mar,5
01_14840,abaxial,Sanne,28-Mar,4
01_14841,adaxial,Sanne,28-Mar,5
01_14841,abaxial,Sanne,28-Mar,5
CV1,adaxial,Rob,21-Mar,3
CV1,abaxial,Rob,21-Mar,2
CV148511,adaxial,Michelle,20-Mar,3
CV148511,abaxial,Michelle,20-Mar,3
Elite14851,adaxial,Sanne,23-Mar,4
Elite14851,abaxial,Sanne,23-Mar,4
Elite14863,adaxial,Sanne,23-Mar,4
Elite14863,abaxial,Sanne,23-Mar,4
Elite14877,adaxial,Aleksandra,23-Mar,4
Elite14877,abaxial,Aleksandra,23-Mar,4
F1_14853,abaxial,Sanne,23-Mar,4
F1_14853,adaxial,Sanne,23-Mar,3
F1_14865,abaxial,Aleksandra,23-Mar,3
F1_14865,adaxial,Aleksandra,22-Mar,2
F1_14865,abaxial,Aleksandra,22-Mar,2
F1_14865,adaxial,Aleksandra,23-Mar,2
F1_14879,adaxial,Aleksandra,23-Mar,5
F1_14879,abaxial,Aleksandra,23-Mar,5
F1_CV,adaxial,Sanne,22-Mar,5
F1_CV,abaxial,Sanne,22-Mar,5
PI,adaxial,Rob,21-Mar,5
PI,adaxial,Aleksandra,21-Mar,3
PI,abaxial,Rob,21-Mar,3
PI,abaxial,Aleksandra,21-Mar,2
PI14852,adaxial,Sanne,23-Mar,5
PI14852,abaxial,Sanne,23-Mar,4
PI148531,abaxial,Michelle,20-Mar,4
PI148531,adaxial,Michelle,20-Mar,1
PI14864,adaxial,Aleksandra,23-Mar,5
PI14864,abaxial,Aleksandra,23-Mar,5
PI14878,adaxial,Aleksandra,23-Mar,5
PI14878,abaxial,Aleksandra,23-Mar,5
